latitude_origin,longitude_origin,latitude_destination,longitude_destination,timestamp,hour_of_day,day_of_week
1.3017751,103.7992566,1.3580012,103.8451597,1554809147,11,1
1.345079397105591,103.9384739252771,1.3352065071398824,103.84220742198522,1555382655,2,1
1.4353174528315644,103.78864468362562,1.3688582315648652,103.8610069597326,1554943773,0,3
1.3750792,103.8334124,1.3282667,103.7506372,1555502175,11,2
1.4338993471344876,103.76870530269464,1.3923011394141274,103.90884581266513,1554779556,3,1
1.3712447,103.8711877,1.3014539,103.8430522,1555464100,1,2
1.3444444461232608,103.72681124202708,1.330114345644098,103.87545467292564,1555157510,12,5
1.3253365,103.7260362,1.4081849,103.8958394,1555822161,4,6
1.3228707,103.6971282,1.3754727,103.9594611,1555747586,8,5
1.3632361,103.8427003,1.3481651,103.6992189,1554758568,21,0
1.3369713,103.7064095,1.2881594,103.7942926,1555470723,3,2
1.4411664,103.8012278,1.2802815,103.8171987,1555888298,23,6
1.33896334,103.94397317,1.37029973,103.84543426,1555848494,12,6
1.44768,103.81296,1.33371,103.7441867,1555637444,1,4
1.3786219490359124,103.89677443887923,1.391643172578217,103.7450078534527,1555884981,22,6
1.365150520865607,103.8914632655162,1.339700287209209,103.9641407133117,1555052103,6,4
1.3947460089388313,103.74678417101102,1.4007841190336279,103.89145293282706,1555470187,3,2
1.3026909,103.899307,1.3563294,103.7677664,1555827002,6,6
1.3416790287872173,103.74901247504349,1.3378637129793123,103.97884439609325,1555767587,13,5
1.3477800497463672,103.92373331865879,1.3421782686660133,103.77839422054299,1554876476,6,2
1.390600366110367,103.87564076516054,1.3363331169936392,103.75779407324109,1554761023,22,0
1.333058057193211,103.73819830178792,1.2726295034945636,103.84203725172019,1555405198,8,1
1.2868100588876705,103.84701574128334,1.344273537429119,103.75414038377477,1555579617,9,3
1.389848,103.762365,1.3274836,103.7200292,1554718680,10,0
1.3187690501741274,103.76288735123393,1.2478674980296345,103.83794841701852,1555221729,6,6
1.3503962,103.7072623,1.3420418,103.9819281,1555642237,2,4
1.3706353,103.9491106,1.3923934,103.7760343,1555319256,9,0
1.3450935237219686,103.74117790861565,1.3425818533537999,103.94806233814157,1555147067,9,5
1.4012703,103.8809184,1.2884377,103.7937518,1554717314,9,0
1.3161006,103.76466,1.3810269,103.8581992,1554762135,22,0
1.3289242222896003,103.6794551675134,1.2848994576101995,103.79941652420456,1555391006,5,1
1.4005109153764403,103.89624786900629,1.3192464154632069,103.85191083180561,1555307223,5,0
1.3399026380435746,103.7425740394331,1.2612941724052151,103.82383997077577,1555225209,7,6
1.2859984,103.8425987,1.4112144,103.8301626,1554963301,6,3
1.3241811200327926,103.88105102989388,1.349455228660293,103.79295924186259,1554884601,8,2
1.3214316,103.8529322,1.3909179,103.8461393,1555496569,10,2
1.2766923,103.8604204,1.3438385,103.7477588,1555586546,11,3
1.4288169,103.8269056,1.376524,103.8963643,1555427477,15,1
1.3349920983242687,103.74490934591172,1.3716128749730347,103.87035969115632,1554957097,4,3
1.325591490605218,103.90279976660749,1.3325362745684874,103.81663958551717,1555326418,11,0
1.3766333,103.7732067,1.340515,103.9478617,1554796405,7,1
1.3840956,103.7731119,1.3442791,103.9828767,1555674722,11,4
1.3202944016112428,103.96884464489551,1.3125122196412373,103.8391043119187,1554690915,2,0
1.3371696,103.9793077,1.3109137,103.8359532,1554695794,3,0
1.3358504371730013,103.93347434709214,1.3058953249890322,103.8381175190543,1555126576,3,5
1.319763686975505,103.96847005696422,1.2955713982355992,103.88207698865344,1554685344,1,0
1.3430282399039133,103.69252891385267,1.3273029597117874,103.90905518918997,1555439921,18,1
1.3447944885777605,103.74293118709762,1.3853900940884871,103.85830005993958,1555148639,9,5
1.3491777,103.7525451,1.4371778,103.7826586,1555670028,10,4
1.2768046,103.8023693,1.3605495,103.8581526,1555405402,9,1
1.3000715,103.769855,1.3059457,103.8257278,1554716921,9,0
1.3912967235845477,103.901393860609,1.4318415519523022,103.84966729412065,1555457592,23,1
1.3754004276214884,103.95600544743546,1.435348520552202,103.84340198966633,1555083628,15,4
1.3417456,103.7775744,1.2876212,103.8457148,1554693680,3,0
1.3921761,103.8534752,1.3163656,103.8584719,1555029133,0,4
1.3038446898415677,103.86550602146302,1.3865872426522043,103.85815089047921,1555059865,9,4
1.3826685,103.8820613,1.3414724,103.9154008,1554855432,0,2
1.2979649,103.8855779,1.337105,103.7994688,1555310097,6,0
1.332126576609704,103.96044422754606,1.2899567366918945,103.84871519224626,1555583671,10,3
1.3453357104005979,103.9836657676011,1.317778970116114,103.86129995817677,1554710685,8,0
1.352757,103.9549038,1.2969731,103.8593049,1555319595,9,0
1.34024,103.7479417,1.4157217,103.7995582,1555209945,2,6
1.330975243255431,103.85022791992395,1.399773492670804,103.74831877128126,1555331409,12,0
1.3463912,103.9840766,1.3915738,103.8552877,1554987859,13,3
1.3007994565094778,103.91061774031864,1.28927822373702,103.79289556786793,1555028976,0,4
1.2988866,103.8542956,1.3454703,103.9833661,1555587532,11,3
1.3573286,103.6950898,1.3267611,103.8282856,1555373811,0,1
1.2644909,103.8236985,1.4258622,103.8538264,1554766326,23,0
1.298684329063297,103.85409609348226,1.3477650749417254,103.96056517227169,1555272945,20,6
1.340484,103.759793,1.2982846,103.8436763,1555041315,3,4
1.4098699344335215,103.82994577298297,1.3336378863941885,103.86234068617394,1555034611,2,4
1.2757438,103.7904873,1.434131,103.7944476,1555887287,22,6
1.363355060504282,103.85289717309529,1.3390093480128633,103.94917020599715,1555740495,6,5
1.3485359377609405,103.83770415911067,1.3578285193392847,103.95827471863241,1555783481,18,5
1.3298766,103.8147117,1.3458435,103.9836187,1555743831,7,5
1.3210468983832555,103.75450000332978,1.3253515086479233,103.87165685221609,1555390696,4,1
1.3414731,103.6965892,1.3422568,103.8033814,1554856068,0,2
1.3548525,103.6980664,1.3972797,103.7737508,1555408122,9,1
1.3235848276359592,103.97856135788975,1.3989251605163469,103.89571023028527,1554858893,1,2
1.4229435,103.834808,1.3292081,103.8623762,1555131533,4,5
1.2834979775207165,103.83565928495094,1.339814351078712,103.69491672495288,1554858658,1,2
1.370917,103.8722103,1.3735831,103.7729912,1555734677,4,5
1.3863840635836464,103.77172067757267,1.3268338982028205,103.8355309703423,1555122231,2,5
1.3533802565968738,103.86414239919716,1.356344075494709,103.69904228731622,1554935071,22,2
1.3397753,103.7097529,1.3039907,103.7716427,1555028662,0,4
1.3224175121043074,103.66343780282266,1.3902820809648744,103.76248682139045,1555409691,10,1
1.3799660221627026,103.93437130808567,1.3227936439611037,103.89195691642006,1554685040,0,0
1.348940063902584,103.71460302027226,1.3489047706267308,103.98496804572878,1555668223,10,4
1.3222655,103.8889422,1.3897545,103.7453022,1554917980,17,2
1.3470239,103.6912409,1.3287687,103.8677199,1555386753,3,1
1.296782,103.7835568,1.3796429,103.7609397,1554696007,4,0
1.320783225845258,103.82535236391035,1.3635282151204051,103.96406598984255,1555258309,16,6
1.2997047431037245,103.76556089929689,1.33003383662087,103.88957245058945,1554946223,1,3
1.4393260110145136,103.8077527655099,1.3479078104486835,103.85886332812868,1555166755,14,5
1.3090058623878622,103.84285441281503,1.355837024392629,103.93482335763528,1555147847,9,5
1.2952746,103.7859815,1.356306,103.8807665,1555508512,13,2
1.2553233,103.8245646,1.3757767,103.7744768,1555582546,10,3
1.3335762,103.9565488,1.2955102,103.8915441,1554682511,0,0
1.3353104759764887,103.75969636353966,1.4157285402598578,103.79966791542705,1555324927,10,0
1.2839895577985847,103.84550147445906,1.4158117398632837,103.8043594268186,1554704110,6,0
1.4320773,103.7725251,1.3306676,103.8613107,1554944390,0,3
1.2851858,103.8607837,1.2922241,103.7677199,1554806334,10,1
1.3455552296760573,103.68918899746043,1.3803150584362858,103.90385863949848,1555592974,13,3
1.3355353,103.7388225,1.4164214,103.8237652,1555594524,13,3
1.2908959,103.8425349,1.3435254,103.7453407,1555529723,19,2
